,MAL_ID,Name,Score,Genres,Type,Episodes,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Dropped,Season,Year,DropRatio(%),RunLength
12706,34934,Koi to Uso,6.57,"['Drama', 'Romance', 'School']",TV,12.0,Summer 2017,"['Frontier Works', 'Pony Canyon', 'Kodansha', 'Ultra Super Pictures', 'Memory-Tech', 'Amuse', 'Hakuhodo DY Music & Pictures', 'Animatic', 'DeNA', 'A-Sketch']",['Sentai Filmworks'],['LIDENFILMS'],Manga,24.0,PG13,5542.0,507,280436,17398,Summer,2017.0,6.203911052789228,One Season
12728,34964,Killing Bites,6.63,"['Action', 'Ecchi', 'Sci-Fi', 'Seinen']",TV,12.0,Winter 2018,"['Sotsu', 'Mainichi Broadcasting System', 'NBCUniversal Entertainment Japan', 'Medicos Entertainment', 'Fields', 'KLab']",,['LIDENFILMS'],Manga,24.0,R+,5269.0,1115,133604,10723,Winter,2018.0,8.025957306667465,One Season
12729,34966,Jigoku Shoujo: Yoi no Togi,6.54,"['Horror', 'Mystery', 'Psychological', 'Supernatural']",TV,6.0,Summer 2017,"['Aniplex', 'Fujishouji']",['Aniplex of America'],['Studio Deen'],Original,23.0,R,5677.0,2391,45113,1974,Summer,2017.0,4.375678850885554,One Season
12732,34973,Love Live! Sunshine!! 2nd Season,7.58,"['Music', 'School', 'Slice of Life']",TV,13.0,Fall 2017,"['Bandai Visual', 'Lantis', 'ASCII Media Works', 'Bushiroad']",['Funimation'],['Sunrise'],Other,23.0,PG13,1341.0,1587,84826,2162,Fall,2017.0,2.5487468464857477,One Season
12734,34975,Marvel Future Avengers,5.64,"['Action', 'Super Power', 'Kids']",TV,26.0,Summer 2017,,,['Madhouse'],Other,22.0,PG,9297.0,7769,3050,232,Summer,2017.0,7.606557377049181,Two Season
12739,34984,Koi wa Ameagari no You ni,7.54,"['Romance', 'Seinen']",TV,12.0,Winter 2018,"['Aniplex', 'Dentsu', 'Fuji TV', 'DMM pictures']",['Sentai Filmworks'],['Wit Studio'],Manga,22.0,PG13,1457.0,752,196601,7788,Winter,2018.0,3.961322678928388,One Season
12762,35025,"""Eikou Naki Tensai-tachi"" Kara no Monogatari",,['Sports'],TV,2.0,Spring 2017,['NHK'],,['J.C.Staff'],Manga,49.0,G,13179.0,11886,550,98,Spring,2017.0,17.81818181818182,One Season
12796,35062,Mahoutsukai no Yome,8.1,"['Slice of Life', 'Magic', 'Fantasy', 'Shounen']",TV,24.0,Fall 2017,"['Production I.G', 'Shochiku', 'flying DOG', 'Mag Garden']",['Funimation'],['Wit Studio'],Manga,24.0,PG13,417.0,165,622300,32207,Fall,2017.0,5.175478065241845,Two Season
12798,35067,Osomatsu-san 2nd Season,7.6,"['Comedy', 'Parody']",TV,25.0,Fall 2017,"['TV Tokyo', 'Dentsu', 'Rakuonsha', 'AT-X', 'Avex Pictures', 'Daiichi Shokai']",['VIZ Media'],['Studio Pierrot'],Manga,23.0,R,1273.0,2423,43693,2683,Fall,2017.0,6.140571716293228,Two Season
12803,35073,Overlord II,7.78,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']",TV,13.0,Winter 2018,"['AT-X', 'Enterbrain', 'Grooove', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",['Funimation'],['Madhouse'],Light novel,23.0,R,851.0,148,646042,8768,Winter,2018.0,1.3571873036118394,One Season
12805,35075,Hoozuki no Reitetsu 2nd Season,7.88,"['Comedy', 'Demons', 'Fantasy', 'Seinen', 'Supernatural']",TV,13.0,Fall 2017,"['Kodansha', 'King Records']",['Sentai Filmworks'],['Studio Deen'],Manga,23.0,PG13,700.0,2695,35964,843,Fall,2017.0,2.3440106773440106,One Season
12806,35076,Juuni Taisen,6.55,['Action'],TV,12.0,Fall 2017,"['Sotsu', 'Mainichi Broadcasting System', 'AT-X', 'Studio Mausu', 'Tokyo MX', 'Avex Pictures', 'Shueisha', 'BS11', 'GYAO!', 'A-Sketch']",['Funimation'],['Graphinica'],Novel,24.0,R,5644.0,649,224045,14011,Fall,2017.0,6.253654399785757,One Season
12808,35078,Mitsuboshi Colors,7.43,"['Comedy', 'Shounen', 'Slice of Life']",TV,12.0,Winter 2018,"['Frontier Works', 'Movic', 'AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],['SILVER LINK.'],Manga,23.0,PG13,1812.0,1741,75163,5029,Winter,2018.0,6.690792012027194,One Season
12809,35079,Kino no Tabi: The Beautiful World - The Animated Series,7.58,"['Action', 'Adventure', 'Slice of Life']",TV,12.0,Fall 2017,"['Movic', 'Magic Capsule', 'ASCII Media Works', 'NBCUniversal Entertainment Japan', 'Egg Firm', 'Crunchyroll SC Anime Fund']",['Funimation'],['Lerche'],Light novel,23.0,R,1337.0,1043,143354,8310,Fall,2017.0,5.79683859536532,One Season
12876,35156,High & Low: G-Sword,5.14,"['Action', 'Drama', 'Shounen']",TV,5.0,Winter 2017,,,,Other,56.0,G,10402.0,11984,526,53,Winter,2017.0,10.076045627376425,One Season
12898,35180,3-gatsu no Lion 2nd Season,9.0,"['Drama', 'Game', 'Seinen', 'Slice of Life']",TV,22.0,Fall 2017,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",['Aniplex of America'],['Shaft'],Manga,25.0,PG13,10.0,545,266243,3166,Fall,2017.0,1.1891392449754548,Two Season
12900,35183,Gurazeni,6.34,"['Comedy', 'Drama', 'Seinen', 'Sports']",TV,12.0,Spring 2018,"['Kodansha', 'Ai Addiction', 'SKY PerfecTV!']",,['Studio Deen'],Manga,23.0,PG13,6677.0,4890,10089,2316,Spring,2018.0,22.955694320547128,One Season
12904,35203,Isekai wa Smartphone to Tomo ni.,6.24,"['Adventure', 'Harem', 'Comedy', 'Magic', 'Romance', 'Fantasy']",TV,12.0,Summer 2017,"['Sotsu', 'MediaNet', 'Pony Canyon', 'AT-X', 'Asmik Ace', 'Hobby Japan', '81 Produce', 'Tokyo MX', 'Exit Tunes']",['Funimation'],['Production Reed'],Light novel,24.0,PG13,7150.0,389,346386,23920,Summer,2017.0,6.905590872610325,One Season
12914,35220,Youkai Apartment no Yuuga na Nichijou,7.18,"['Slice of Life', 'Mystery', 'Supernatural']",TV,26.0,Summer 2017,"['TMS Entertainment', 'Kodansha', 'Asmik Ace', 'JR East Marketing & Communications', 'Sumitomo']",,['Shin-Ei Animation'],Light novel,23.0,PG13,2870.0,2094,56216,6679,Summer,2017.0,11.880959157535221,Two Season
12915,35222,Gakuen Babysitters,7.84,"['Comedy', 'School', 'Shoujo', 'Slice of Life']",TV,12.0,Winter 2018,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Hakusensha', 'Banpresto', 'Marui Group']",,"[""Brain's Base""]",Manga,23.0,PG13,752.0,887,168776,4997,Winter,2018.0,2.96072901360383,One Season
12929,35240,Princess Principal,7.71,"['Action', 'Mystery', 'Historical']",TV,12.0,Summer 2017,"['Bandai Visual', 'Lantis', 'Movic', 'Tokyo MX', 'Q-Tec', 'Hakuhodo DY Music & Pictures', 'Medicos Entertainment']",['Sentai Filmworks'],"['Actas', 'Studio 3Hz']",Original,25.0,R,1005.0,954,155342,6986,Summer,2017.0,4.497173977417569,One Season
12930,35241,Konohana Kitan,7.56,"['Slice of Life', 'Fantasy', 'Seinen', 'Shoujo Ai']",TV,12.0,Fall 2017,"['Genco', 'Lantis', 'AT-X', 'GAGA', 'Memory-Tech', 'Studio Mausu', 'DeNA', 'Kadokawa', 'Melonbooks']",['Funimation'],['Lerche'],Manga,23.0,PG13,1406.0,1311,109029,7047,Fall,2017.0,6.46341798970916,One Season
12933,35247,Owarimonogatari 2nd Season,8.93,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",TV,7.0,Summer 2017,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],Light novel,22.0,R,17.0,521,270878,1697,Summer,2017.0,0.6264812941619474,One Season
12934,35248,18if,6.17,"['Mystery', 'Supernatural']",TV,13.0,Summer 2017,"['Sotsu', 'DLE', 'BS Fuji', 'Tokyo MX', 'Mobcast', 'RAY']",['Funimation'],['Gonzo'],Game,23.0,R,7490.0,2353,46598,7453,Summer,2017.0,15.994248680200867,One Season
12935,35249,Uma Musume: Pretty Derby (TV),7.28,"['Comedy', 'Slice of Life', 'Sports']",TV,13.0,Spring 2018,"['Lantis', 'TOHO animation', 'Kansai Telecasting', 'Cygames']",,['P.A. Works'],Game,23.0,PG13,2456.0,1616,82647,5819,Spring,2018.0,7.040787929386427,One Season
12936,35250,Urahara,5.79,"['Comedy', 'Fantasy', 'Psychological', 'Sci-Fi']",TV,12.0,Fall 2017,"['VAP', 'Sotsu', 'bilibili', 'Crunchyroll SC Anime Fund']",['Funimation'],"['Shirogumi', 'EMT Squared']",Web manga,23.0,PG13,8878.0,2979,30156,6791,Fall,2017.0,22.51956492903568,One Season
12937,35251,Sengoku Night Blood,6.1,"['Historical', 'Romance', 'Fantasy']",TV,12.0,Fall 2017,"['TV Asahi', 'Marvelous', 'Pony Canyon', 'JY Animation', 'Live Viewing Japan']",,['Typhoon Graphics'],Game,23.0,PG13,7817.0,2761,34603,5133,Fall,2017.0,14.833973932895992,One Season
12938,35252,Hatena☆Illusion,5.37,"['Comedy', 'Supernatural', 'Romance', 'Ecchi']",TV,12.0,Winter 2020,"['Shueisha', 'bilibili', 'Bandai Namco Arts']",['Funimation'],"[""Children's Playground Entertainment""]",Light novel,24.0,PG13,10001.0,2997,29551,5842,Winter,2020.0,19.76921254779872,One Season
12939,35254,Time Bokan: Gyakushuu no San Akunin,5.99,"['Adventure', 'Comedy', 'Historical', 'Mecha']",TV,24.0,Fall 2017,['Yomiuri Telecasting'],,['Tatsunoko Production'],Original,23.0,PG13,8256.0,9531,1505,222,Fall,2017.0,14.750830564784053,Two Season
12966,35298,Ramen Daisuki Koizumi-san,6.52,"['Comedy', 'Slice of Life']",TV,12.0,Winter 2018,"['Sotsu', 'KlockWorx', 'flying DOG', 'Grooove', 'Cygames', 'Crunchyroll SC Anime Fund']",,"['Studio Gokumi', 'AXsiZ']",Manga,22.0,PG13,5800.0,2256,49788,6327,Winter,2018.0,12.707881417208966,One Season
12970,35303,Furusato Meguri: Nippon no Mukashibanashi,6.14,"['Historical', 'Kids', 'Supernatural']",TV,50.0,Spring 2017,,,,Other,22.0,G,7613.0,10869,841,93,Spring,2017.0,11.058263971462544,Four or more Season
12979,35313,Kemono Friends 2,5.87,"['Adventure', 'Comedy']",TV,12.0,Winter 2019,,,['Tomason'],Game,22.0,PG13,8644.0,4332,13642,1430,Winter,2019.0,10.4823339686263,One Season
12996,35334,ClassicaLoid 2nd Season,6.5,"['Music', 'Comedy']",TV,25.0,Fall 2017,"['NHK', 'Bandai Namco Pictures']",['Sentai Filmworks'],['Sunrise'],Original,24.0,PG13,5876.0,6005,6019,453,Fall,2017.0,7.526167137398239,Two Season
13017,35376,Himouto! Umaru-chan R,7.36,"['Comedy', 'School', 'Seinen', 'Slice of Life']",TV,12.0,Fall 2017,"['AT-X', 'Flex Comix', 'TOHO animation', 'Good Smile Company', 'Shueisha', 'bilibili', 'BS11', 'Jinnan Studio', 'RAY']",['Sentai Filmworks'],['Doga Kobo'],Manga,23.0,PG13,2061.0,837,178583,5851,Fall,2017.0,3.276347692669515,One Season
13044,35413,Imouto sae Ireba Ii.,7.38,"['Comedy', 'Romance']",TV,12.0,Fall 2017,"['Bandai Visual', 'Lantis', 'Shochiku', 'Bushiroad', 'Hakuhodo DY Music & Pictures', 'BS11', 'Shogakukan']",['Funimation'],['SILVER LINK.'],Light novel,23.0,R+,1978.0,638,228968,11210,Fall,2017.0,4.895880647077321,One Season
13052,35427,Animegataris,6.42,"['Comedy', 'Parody', 'School']",TV,12.0,Fall 2017,"['W-Toon Studio', 'Yomiuri TV Enterprise', 'DMM.futureworks', 'JY Animation']",['Funimation'],['WAO World'],Original,23.0,PG13,6303.0,1976,61425,6242,Fall,2017.0,10.161986161986162,One Season
13055,35434,Konbini Kareshi,6.3,"['Slice of Life', 'Romance']",TV,12.0,Summer 2017,"['VAP', 'Dentsu', 'TBS', 'chara-ani.com', 'Pierrot Plus', 'Being', 'Gzbrain', 'Cocoro Free', 'Tosho Printing']",['Funimation'],['Studio Pierrot'],Original,24.0,PG13,6909.0,1839,68262,7599,Summer,2017.0,11.132108640239078,One Season
13058,35444,Neko to Mata,,['Supernatural'],TV,67.0,Spring 2017,"['Fuji TV', 'Creek & River']",,,Original,42.0,G,11117.0,12137,497,123,Spring,2017.0,24.748490945674046,Four or more Season
13094,35503,Shoujo☆Kageki Revue Starlight,7.62,"['Music', 'School']",TV,12.0,Summer 2018,"['Pony Canyon', 'TBS', 'Bushiroad', 'Overlap', 'Nelke Planning', 'APDREAM']",['Sentai Filmworks'],['Kinema Citrus'],Original,24.0,PG13,1230.0,2065,57600,3161,Summer,2018.0,5.487847222222222,One Season
13097,35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7.85,"['Slice of Life', 'Psychological', 'Drama', 'School']",TV,12.0,Summer 2017,"['Studio Hibari', 'Lantis', 'Media Factory', 'AT-X', 'Sony Music Communications', 'Toranoana', 'Kadokawa Media House', 'AKABEiSOFT2']",['Funimation'],['Lerche'],Light novel,24.0,PG13,734.0,190,577290,9892,Summer,2017.0,1.713523532366748,One Season
13104,35516,Dappys,5.36,"['Music', 'Comedy']",TV,4.0,Spring 2017,,,['DLE'],Original,50.0,G,9998.0,10624,922,172,Spring,2017.0,18.655097613882862,One Season
13105,35517,Caribadix,,"['Music', 'Comedy']",TV,46.0,Spring 2017,"['TV Osaka', 'Sanrio']",,,Original,45.0,PG,13554.0,12888,368,109,Spring,2017.0,29.6195652173913,Four or more Season
13124,35540,Slow Start,7.03,"['Comedy', 'School', 'Slice of Life']",TV,12.0,Winter 2018,"['Aniplex', 'Houbunsha', 'Kansai Telecasting', 'Lawson', 'Kinoshita Group Holdings', 'Drecom']",['Aniplex of America'],['CloverWorks'],4-koma manga,23.0,PG13,3544.0,1943,63210,4827,Winter,2018.0,7.636449928808734,One Season
13125,35541,Turning Mecard,5.97,"['Game', 'Adventure', 'Cars', 'Kids', 'Mecha']",TV,52.0,Winter 2015,,,,,28.0,PG,8337.0,11884,553,79,Winter,2015.0,14.285714285714285,Four or more Season
13126,35542,Turning Mecard W,,"['Game', 'Adventure', 'Cars', 'Kids', 'Mecha']",TV,26.0,Spring 2016,,,,,28.0,PG,12641.0,13577,294,49,Spring,2016.0,16.666666666666664,Two Season
13127,35543,Turning Mecard W Season 2,,"['Game', 'Adventure', 'Cars', 'Kids', 'Mecha']",TV,26.0,Spring 2017,,,,,28.0,PG,12654.0,13784,277,51,Spring,2017.0,18.4115523465704,Two Season
13133,35557,Houseki no Kuni (TV),8.41,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Seinen']",TV,12.0,Fall 2017,"['Mainichi Broadcasting System', 'Kodansha', 'Movic', 'AT-X', 'TOHO animation', 'Tokyo MX', 'Q-Tec', 'Kyoraku Industrial Holdings', 'BS11']",['Sentai Filmworks'],['Orange'],Manga,24.0,PG13,148.0,462,304278,6852,Fall,2017.0,2.2518880760357307,One Season
13151,35589,Toji no Miko,6.83,"['Action', 'Fantasy']",TV,24.0,Winter 2018,"['Square Enix', 'Genco', 'Mainichi Broadcasting System', 'AT-X', 'Glovision', 'Kadokawa', 'My Theater D.D.', 'Crunchyroll SC Anime Fund']","['Funimation', 'Crunchyroll']",['Studio Gokumi'],Original,23.0,PG13,4304.0,1933,63683,8387,Winter,2018.0,13.169919758805332,Two Season
13180,35639,Just Because!,7.29,"['Slice of Life', 'Drama', 'Romance', 'School']",TV,12.0,Fall 2017,"['Sotsu', 'AT-X', 'BS Fuji', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Moonbell', 'INCS toenter']",['Sentai Filmworks'],['Pine Jam'],Original,23.0,PG13,2380.0,675,218640,10766,Fall,2017.0,4.924076106842298,One Season
13182,35642,Lei Su Deng Shandian Chong Xian,,"['Cars', 'Kids']",TV,26.0,,['Alpha Group Co. Ltd.'],,,Original,21.0,PG,15273.0,14736,210,32,,,15.238095238095239,Two Season
13228,35712,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,6.28,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",TV,10.0,Fall 2017,"['AT-X', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', 'Glovision', 'Sammy', 'Kadokawa Media House', 'Production Ace', 'Kadokawa']",['Sentai Filmworks'],"['Diomedéa', 'Studio Blanc']",Web manga,23.0,PG13,6979.0,815,183979,17550,Fall,2017.0,9.53913218356443,One Season
13249,35756,Comic Girls,7.42,"['Slice of Life', 'Comedy']",TV,12.0,Spring 2018,"['Sotsu', 'Houbunsha', 'Kansai Telecasting', 'BS11', 'My Theater D.D.']",,['Nexus'],4-koma manga,23.0,PG13,1835.0,1285,111146,5219,Spring,2018.0,4.695625573569899,One Season
13250,35757,Gin no Guardian II,6.61,"['Adventure', 'Fantasy']",TV,6.0,Winter 2018,['Haoliners Animation League'],['Funimation'],"['Emon', 'Blade']",Web manga,24.0,PG13,5339.0,2402,44859,1176,Winter,2018.0,2.6215475155487193,One Season
13252,35760,Shingeki no Kyojin Season 3,8.59,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",TV,12.0,Summer 2018,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],Manga,23.0,R,76.0,48,1212430,6048,Summer,2018.0,0.49883292231304077,One Season
13266,35788,Shokugeki no Souma: San no Sara,8.14,"['Ecchi', 'School', 'Shounen']",TV,12.0,Fall 2017,"['Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],Manga,24.0,PG13,370.0,146,659490,6600,Fall,2017.0,1.0007733248419233,One Season
13267,35789,Yowamushi Pedal: Glory Line,7.58,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,25.0,Winter 2018,,,['TMS Entertainment'],Manga,23.0,PG13,1352.0,2503,41568,884,Winter,2018.0,2.126635873749038,Two Season
13268,35790,Tate no Yuusha no Nariagari,8.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",TV,25.0,Winter 2019,"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa', 'Crunchyroll SC Anime Fund']",['Funimation'],['Kinema Citrus'],Light novel,24.0,PG13,537.0,85,907714,27622,Winter,2019.0,3.0430289716805072,Two Season
13279,35821,Chio-chan no Tsuugakuro,7.45,"['Comedy', 'Seinen']",TV,12.0,Summer 2018,,['Funimation'],['Diomedéa'],Manga,23.0,PG13,1736.0,1547,89367,5781,Summer,2018.0,6.468830776461109,One Season
13282,35828,Miira no Kaikata,7.42,"['Slice of Life', 'Comedy', 'Supernatural']",TV,12.0,Winter 2018,"['TBS', 'Grooove', 'Nichion', 'Exit Tunes', 'ONEMUSIC', 'Crunchyroll SC Anime Fund']",,['8bit'],Web manga,24.0,PG13,1833.0,1617,83252,5233,Winter,2018.0,6.285734877240186,One Season
13283,35834,Angolmois: Genkou Kassenki,7.15,"['Action', 'Drama', 'Historical', 'Military', 'Samurai']",TV,12.0,Summer 2018,['HOTZIPANG'],,['NAZ'],Manga,23.0,PG13,2983.0,2339,47270,3463,Summer,2018.0,7.325999576898667,One Season
13284,35835,RErideD: Tokigoe no Derrida,5.7,"['Action', 'Sci-Fi', 'Drama']",TV,12.0,Fall 2018,"['Half H.P Studio', 'Kadokawa']",['Funimation'],['GEEK TOYS'],Original,23.0,PG13,9173.0,2710,35741,5092,Fall,2018.0,14.246943286421757,One Season
13285,35838,Shoujo Shuumatsu Ryokou,8.19,"['Adventure', 'Mystery', 'Sci-Fi', 'Slice of Life']",TV,12.0,Fall 2017,"['AT-X', 'Shinchosha', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],['White Fox'],Web manga,23.0,PG13,321.0,631,228188,8570,Fall,2017.0,3.7556751450558314,One Season
13286,35839,Sora yori mo Tooi Basho,8.57,"['Adventure', 'Comedy', 'Drama']",TV,13.0,Winter 2018,"['Media Factory', 'Movic', 'AT-X', 'Sony Music Communications', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa', 'NewGin', 'Crunchyroll SC Anime Fund']",,['Madhouse'],Original,23.0,PG13,82.0,392,344406,7203,Winter,2018.0,2.091426978624066,One Season
13289,35843,Gintama.: Porori-hen,8.53,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,13.0,Fall 2017,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",,['Bandai Namco Pictures'],Manga,23.0,PG13,90.0,1159,127958,1224,Fall,2017.0,0.9565638725206709,One Season
13290,35847,SSSS.Gridman,7.19,"['Action', 'Sci-Fi', 'Mecha']",TV,12.0,Fall 2018,"['Mainichi Broadcasting System', 'Pony Canyon', 'Tsuburaya Productions', 'KlockWorx', 'Ultra Super Pictures', 'Graphinica', 'Docomo Anime Store', 'Fields', 'BS11']",['Funimation'],['Trigger'],Original,23.0,PG13,2804.0,734,199953,10971,Fall,2018.0,5.4867893955079445,One Season
13292,35849,Darling in the FranXX,7.33,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",TV,24.0,Winter 2018,"['Aniplex', 'Khara', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment', 'Tokyo MX', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'BS11', 'Lawson', 'ABC Animation', 'Rialto Entertainment']",['Funimation'],"['A-1 Pictures', 'Trigger', 'CloverWorks']",Original,24.0,PG13,2210.0,71,988865,53880,Winter,2018.0,5.448670951039829,Two Season
13297,35857,Lupin III: Part 5,8.17,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",TV,24.0,Spring 2018,"['Nippon Television Network', 'TMS Music']",,['Telecom Animation Film'],Manga,22.0,PG13,345.0,3030,28897,977,Spring,2018.0,3.3809738035090144,Two Season
13300,35860,Karakai Jouzu no Takagi-san,7.77,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shounen']",TV,12.0,Winter 2018,"['TMS Entertainment', 'Asatsu DK', 'Asmik Ace', 'TOHO animation', 'JR East Marketing & Communications']",['Funimation'],['Shin-Ei Animation'],Manga,23.0,PG13,887.0,368,361838,16311,Winter,2018.0,4.50781841597621,One Season
13304,35889,Hakata Tonkotsu Ramens,7.41,"['Action', 'Mystery']",TV,12.0,Winter 2018,"['Sotsu', 'AT-X', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Tokyo MX', 'BS11']",['Funimation'],['Satelight'],Novel,23.0,R,1864.0,1219,120346,7623,Winter,2018.0,6.3342362853771625,One Season
13308,35905,Ryuuou no Oshigoto!,6.92,"['Comedy', 'Game', 'Slice of Life']",TV,12.0,Winter 2018,"['AT-X', 'Magic Capsule', 'Nippon Columbia', 'KlockWorx', 'BS Fuji', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Radio Osaka', 'Aquamarine', 'Dream Shift']",,['Project No.9'],Light novel,23.0,PG13,3949.0,1105,133518,7535,Winter,2018.0,5.643433844125886,One Season
13318,35928,Devils Line,6.79,"['Action', 'Drama', 'Romance', 'Seinen', 'Supernatural', 'Vampire']",TV,12.0,Spring 2018,"['Kodansha', 'King Records']",['Sentai Filmworks'],['Platinum Vision'],Manga,24.0,R,4484.0,910,164432,13787,Spring,2018.0,8.38462099834582,One Season
13333,35964,Basilisk: Ouka Ninpouchou,5.47,"['Action', 'Drama', 'Historical', 'Martial Arts']",TV,24.0,Winter 2018,"['Kodansha', 'Glovision', 'King Records', 'Universal Entertainment']",['Funimation'],['Seven Arcs Pictures'],Manga,23.0,R,9779.0,3009,29524,4140,Winter,2018.0,14.022490177482727,Two Season
13335,35968,Wotaku ni Koi wa Muzukashii,7.96,"['Comedy', 'Romance', 'Slice of Life']",TV,11.0,Spring 2018,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Ichijinsha', 'Kanetsu Investment']",,['A-1 Pictures'],Web manga,22.0,PG13,588.0,222,528912,11696,Spring,2018.0,2.2113319417975013,One Season
13337,35972,Fairy Tail: Final Series,7.55,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",TV,51.0,Fall 2018,"['TV Tokyo', 'Dentsu', 'Kodansha', 'Avex Pictures']",['Funimation'],"['A-1 Pictures', 'Bridge', 'CloverWorks']",Manga,23.0,PG13,1424.0,432,323151,11529,Fall,2018.0,3.5676819814885303,Four or more Season
13346,35983,Harukana Receive,6.7,"['Slice of Life', 'Sports']",TV,12.0,Summer 2018,,['Funimation'],['C2C'],Manga,23.0,PG13,4906.0,1652,80796,8430,Summer,2018.0,10.433684835882964,One Season
13349,35988,Dame x Prince Anime Caravan,6.53,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",TV,12.0,Winter 2018,['AZ Creative'],['Sentai Filmworks'],['Studio Flad'],Visual novel,23.0,PG13,5726.0,3485,22025,2091,Winter,2018.0,9.493757094211123,One Season
13351,35994,Satsuriku no Tenshi,6.87,"['Adventure', 'Horror', 'Psychological', 'Thriller']",TV,16.0,Summer 2018,"['Lantis', 'AT-X', 'KBS', 'Kadokawa']",['Funimation'],['J.C.Staff'],Game,23.0,R,4149.0,351,382383,34699,Summer,2018.0,9.07440968871524,Two Season
13353,35997,Märchen Mädchen,5.4,"['Fantasy', 'Magic', 'School']",TV,10.0,Winter 2018,"['Lantis', 'AT-X', 'NBCUniversal Entertainment Japan', 'Medicos Entertainment', 'Shueisha', 'Kanon Sound', 'DMM.com', 'NichiNare']",,['Hoods Entertainment'],Light novel,23.0,PG13,9920.0,2727,35063,6273,Winter,2018.0,17.89065396571885,One Season
13355,36000,Sora to Umi no Aida,5.68,"['Sci-Fi', 'Adventure', 'Space', 'Fantasy']",TV,12.0,Fall 2018,['Half H.P Studio'],['Sentai Filmworks'],['TMS Entertainment'],Game,23.0,PG13,9209.0,3828,17960,4104,Fall,2018.0,22.85077951002227,One Season
13361,36009,Two Car,5.65,['Sports'],TV,12.0,Fall 2017,"['Lantis', 'AT-X', 'KlockWorx', 'Sony Music Communications', 'BS Fuji', '81 Produce', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'FuRyu', 'Kadokawa', 'D-techno']",,['SILVER LINK.'],Original,23.0,PG13,9274.0,3703,19463,4216,Fall,2017.0,21.661614345167752,One Season
13363,36015,Shaolin Chuanqi,,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen']",TV,26.0,,,,,,22.0,,11899.0,17055,77,17,,,22.07792207792208,Two Season
13367,36022,Cardfight!! Vanguard G: Z,6.48,"['Action', 'Game', 'Shounen']",TV,24.0,Fall 2017,['Sotsu'],,['OLM'],Card game,24.0,PG13,5964.0,6443,5083,261,Fall,2017.0,5.134762935274444,Two Season
13368,36023,Persona 5 the Animation,6.47,"['Action', 'Fantasy', 'Supernatural']",TV,26.0,Spring 2018,"['Aniplex', 'A-1 Pictures', 'Movic', 'Atlus', 'Sammy', 'Sonilude']",['Aniplex of America'],['CloverWorks'],Game,24.0,R,6035.0,840,179712,24774,Spring,2018.0,13.785389957264957,Two Season
