,MAL_ID,Name,Score,Genres,Type,Episodes,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Dropped,Season,Year,DropRatio(%),RunLength
9138,24439,Kekkai Sensen,7.65,"['Action', 'Comedy', 'Super Power', 'Supernatural', 'Vampire', 'Fantasy', 'Shounen']",TV,12.0,Spring 2015,"['Nihon Ad Systems', 'Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', ""Toy's Factory"", 'Sony PCL']",['Funimation'],['Bones'],Manga,26.0,R,1162.0,164,625476,26022,Spring,2015.0,4.160351476315638,One Season
9165,24629,Koufuku Graffiti,6.8,"['Slice of Life', 'Comedy', 'Seinen']",TV,12.0,Winter 2015,"['TBS', 'flying DOG']",['Sentai Filmworks'],['Shaft'],4-koma manga,24.0,PG13,4444.0,1816,69897,7212,Winter,2015.0,10.318039400832655,One Season
9183,24703,High School DxD BorN,7.45,"['Action', 'Comedy', 'Demons', 'Ecchi', 'Harem', 'Romance', 'School']",TV,12.0,Spring 2015,"['Genco', 'Lantis', 'AT-X', 'Fujimi Shobo']",['Funimation'],['TNK'],Light novel,24.0,R+,1744.0,193,571266,9772,Spring,2015.0,1.7105866619053123,One Season
9192,24765,Gakkougurashi!,7.63,"['Slice of Life', 'Psychological', 'School', 'Horror', 'Mystery']",TV,12.0,Summer 2015,"['Sotsu', 'Nitroplus', 'NBCUniversal Entertainment Japan']",['Sentai Filmworks'],['Lerche'],Manga,24.0,R,1199.0,399,340561,14652,Summer,2015.0,4.302312948341119,One Season
9211,24833,Ansatsu Kyoushitsu,8.12,"['Action', 'Comedy', 'School', 'Shounen']",TV,22.0,Winter 2015,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures', 'Shueisha']",['Funimation'],['Lerche'],Manga,23.0,PG13,388.0,37,1264954,41961,Winter,2015.0,3.317195724113288,Two Season
9225,24873,Juuou Mujin no Fafnir,6.25,"['Fantasy', 'Harem', 'Romance', 'School']",TV,12.0,Winter 2015,"['TBS', 'Kodansha', 'DAX Production', 'Nippon Columbia', 'Daiichikosho', 'RAY', 'Nichion', 'NichiNare']",,['Diomedéa'],Light novel,24.0,PG13,7140.0,1179,126029,8657,Winter,2015.0,6.86905394790088,One Season
9230,24893,Sidonia no Kishi: Daikyuu Wakusei Seneki,7.77,"['Action', 'Sci-Fi', 'Space', 'Mecha', 'Seinen']",TV,12.0,Spring 2015,"['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha', 'Studio Mausu']",['Sentai Filmworks'],['Polygon Pictures'],Manga,24.0,R,876.0,1375,102389,2193,Spring,2015.0,2.1418316420709256,One Season
9286,25099,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",6.81,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",TV,12.0,Fall 2015,"['Sotsu', 'AT-X', 'Memory-Tech', 'Showgate', 'Happinet Pictures', 'BS Fuji', 'MAGES.', 'Contents Seed', 'Ichijinsha']",['Funimation'],['SILVER LINK.'],Light novel,23.0,PG13,4384.0,724,203046,6958,Fall,2015.0,3.4268096884449832,One Season
9300,25183,Gangsta.,7.4,"['Action', 'Drama', 'Seinen']",TV,12.0,Summer 2015,"['Bandai Visual', 'Frontier Works', 'Lantis', 'DAX Production', 'Tokyo MX']",['Funimation'],['Manglobe'],Manga,23.0,R,1897.0,303,428797,21661,Summer,2015.0,5.051574521276968,One Season
9309,25283,Kuusen Madoushi Kouhosei no Kyoukan,6.4,"['Action', 'Drama', 'Fantasy', 'Magic', 'School']",TV,12.0,Summer 2015,['flying DOG'],['Funimation'],['Diomedéa'],Light novel,23.0,PG13,6412.0,748,198059,9568,Summer,2015.0,4.830883726566326,One Season
